fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2010-06-01,2010M06,Viviendas,Total,3.61
2010-06-01,2010M06,Viviendas,Variable,3.58
2010-07-01,2010M07,Total fincas,Fijo,4.86
2010-07-01,2010M07,Total fincas,Total,3.48
2010-07-01,2010M07,Total fincas,Variable,3.42
2010-07-01,2010M07,Viviendas,Fijo,5.05
2010-07-01,2010M07,Viviendas,Total,3.52
2010-07-01,2010M07,Viviendas,Variable,3.49
2010-08-01,2010M08,Total fincas,Fijo,5.31
2010-08-01,2010M08,Total fincas,Total,3.57
2010-08-01,2010M08,Total fincas,Variable,3.5
2010-08-01,2010M08,Viviendas,Fijo,5.13
2010-08-01,2010M08,Viviendas,Total,3.46
2010-08-01,2010M08,Viviendas,Variable,3.43
2010-09-01,2010M09,Total fincas,Fijo,5.72
2010-09-01,2010M09,Total fincas,Total,3.51
2010-09-01,2010M09,Total fincas,Variable,3.44
2010-09-01,2010M09,Viviendas,Fijo,5.36
2010-09-01,2010M09,Viviendas,Total,3.46
2010-09-01,2010M09,Viviendas,Variable,3.43
2010-10-01,2010M10,Total fincas,Fijo,5.14
2010-10-01,2010M10,Total fincas,Total,3.54
2010-10-01,2010M10,Total fincas,Variable,3.47
2010-10-01,2010M10,Viviendas,Fijo,5.08
2010-10-01,2010M10,Viviendas,Total,3.48
2010-10-01,2010M10,Viviendas,Variable,3.44
2010-11-01,2010M11,Total fincas,Fijo,5.1
2010-11-01,2010M11,Total fincas,Total,3.69
2010-11-01,2010M11,Total fincas,Variable,3.62
2010-11-01,2010M11,Viviendas,Fijo,4.94
2010-11-01,2010M11,Viviendas,Total,3.56
2010-11-01,2010M11,Viviendas,Variable,3.53
2010-12-01,2010M12,Total fincas,Fijo,4.73
2010-12-01,2010M12,Total fincas,Total,3.69
2010-12-01,2010M12,Total fincas,Variable,3.6
2010-12-01,2010M12,Viviendas,Fijo,5.13
2010-12-01,2010M12,Viviendas,Total,3.58
2010-12-01,2010M12,Viviendas,Variable,3.53
2011-01-01,2011M01,Total fincas,Fijo,4.94
2011-01-01,2011M01,Total fincas,Total,3.58
2011-01-01,2011M01,Total fincas,Variable,3.51
2011-01-01,2011M01,Viviendas,Fijo,4.87
2011-01-01,2011M01,Viviendas,Total,3.49
2011-01-01,2011M01,Viviendas,Variable,3.47
2011-02-01,2011M02,Total fincas,Fijo,5.05
2011-02-01,2011M02,Total fincas,Total,3.54
2011-02-01,2011M02,Total fincas,Variable,3.48
2011-02-01,2011M02,Viviendas,Fijo,4.76
2011-02-01,2011M02,Viviendas,Total,3.4
2011-02-01,2011M02,Viviendas,Variable,3.38
2011-03-01,2011M03,Total fincas,Fijo,5.04
2011-03-01,2011M03,Total fincas,Total,3.73
2011-03-01,2011M03,Total fincas,Variable,3.65
2011-03-01,2011M03,Viviendas,Fijo,5.0
2011-03-01,2011M03,Viviendas,Total,3.6
2011-03-01,2011M03,Viviendas,Variable,3.57
2011-04-01,2011M04,Total fincas,Fijo,5.25
2011-04-01,2011M04,Total fincas,Total,3.77
2011-04-01,2011M04,Total fincas,Variable,3.69
2011-04-01,2011M04,Viviendas,Fijo,5.52
2011-04-01,2011M04,Viviendas,Total,3.71
2011-04-01,2011M04,Viviendas,Variable,3.67
2011-05-01,2011M05,Total fincas,Fijo,5.15
2011-05-01,2011M05,Total fincas,Total,3.81
2011-05-01,2011M05,Total fincas,Variable,3.72
2011-05-01,2011M05,Viviendas,Fijo,4.82
2011-05-01,2011M05,Viviendas,Total,3.7
2011-05-01,2011M05,Viviendas,Variable,3.66
2011-06-01,2011M06,Total fincas,Fijo,4.94
2011-06-01,2011M06,Total fincas,Total,4.02
2011-06-01,2011M06,Total fincas,Variable,3.97
2011-06-01,2011M06,Viviendas,Fijo,5.22
2011-06-01,2011M06,Viviendas,Total,3.8
2011-06-01,2011M06,Viviendas,Variable,3.75
2011-07-01,2011M07,Total fincas,Fijo,4.99
2011-07-01,2011M07,Total fincas,Total,4.0
2011-07-01,2011M07,Total fincas,Variable,3.94
2011-07-01,2011M07,Viviendas,Fijo,5.09
2011-07-01,2011M07,Viviendas,Total,3.93
2011-07-01,2011M07,Viviendas,Variable,3.9
2011-08-01,2011M08,Total fincas,Fijo,5.31
2011-08-01,2011M08,Total fincas,Total,4.06
2011-08-01,2011M08,Total fincas,Variable,4.0
2011-08-01,2011M08,Viviendas,Fijo,5.2
2011-08-01,2011M08,Viviendas,Total,3.96
2011-08-01,2011M08,Viviendas,Variable,3.93
2011-09-01,2011M09,Total fincas,Fijo,5.12
2011-09-01,2011M09,Total fincas,Total,4.06
2011-09-01,2011M09,Total fincas,Variable,3.99
2011-09-01,2011M09,Viviendas,Fijo,4.68
2011-09-01,2011M09,Viviendas,Total,3.98
2011-09-01,2011M09,Viviendas,Variable,3.96
2011-10-01,2011M10,Total fincas,Fijo,5.31
2011-10-01,2011M10,Total fincas,Total,4.07
2011-10-01,2011M10,Total fincas,Variable,3.98
2011-10-01,2011M10,Viviendas,Fijo,5.26
2011-10-01,2011M10,Viviendas,Total,3.98
2011-10-01,2011M10,Viviendas,Variable,3.93
2011-11-01,2011M11,Total fincas,Fijo,4.89
2011-11-01,2011M11,Total fincas,Total,4.27
2011-11-01,2011M11,Total fincas,Variable,4.23
2011-11-01,2011M11,Viviendas,Fijo,4.69
2011-11-01,2011M11,Viviendas,Total,4.19
2011-11-01,2011M11,Viviendas,Variable,4.18
2011-12-01,2011M12,Total fincas,Fijo,5.04
2011-12-01,2011M12,Total fincas,Total,4.1
2011-12-01,2011M12,Total fincas,Variable,4.06
2011-12-01,2011M12,Viviendas,Fijo,5.15
2011-12-01,2011M12,Viviendas,Total,4.02
2011-12-01,2011M12,Viviendas,Variable,4.0
2012-01-01,2012M01,Total fincas,Fijo,4.12
2012-01-01,2012M01,Total fincas,Total,4.13
2012-01-01,2012M01,Total fincas,Variable,4.13
2012-01-01,2012M01,Viviendas,Fijo,4.9
2012-01-01,2012M01,Viviendas,Total,4.1
2012-01-01,2012M01,Viviendas,Variable,4.07
2012-02-01,2012M02,Total fincas,Fijo,5.09
2012-02-01,2012M02,Total fincas,Total,4.18
2012-02-01,2012M02,Total fincas,Variable,4.12
2012-02-01,2012M02,Viviendas,Fijo,5.29
2012-02-01,2012M02,Viviendas,Total,4.04
2012-02-01,2012M02,Viviendas,Variable,3.99
2012-03-01,2012M03,Total fincas,Fijo,5.42
2012-03-01,2012M03,Total fincas,Total,4.18
2012-03-01,2012M03,Total fincas,Variable,4.1
2012-03-01,2012M03,Viviendas,Fijo,5.33
