fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2016-05-01,2016M05,Viviendas,Fijo,3.49
2016-05-01,2016M05,Viviendas,Total,3.16
2016-05-01,2016M05,Viviendas,Variable,3.1
2016-06-01,2016M06,Total fincas,Fijo,3.6
2016-06-01,2016M06,Total fincas,Total,3.13
2016-06-01,2016M06,Total fincas,Variable,3.01
2016-06-01,2016M06,Viviendas,Fijo,3.4
2016-06-01,2016M06,Viviendas,Total,3.19
2016-06-01,2016M06,Viviendas,Variable,3.14
2016-07-01,2016M07,Total fincas,Fijo,3.8
2016-07-01,2016M07,Total fincas,Total,3.22
2016-07-01,2016M07,Total fincas,Variable,3.06
2016-07-01,2016M07,Viviendas,Fijo,3.58
2016-07-01,2016M07,Viviendas,Total,3.25
2016-07-01,2016M07,Viviendas,Variable,3.15
2016-08-01,2016M08,Total fincas,Fijo,3.34
2016-08-01,2016M08,Total fincas,Total,3.08
2016-08-01,2016M08,Total fincas,Variable,3.0
2016-08-01,2016M08,Viviendas,Fijo,3.28
2016-08-01,2016M08,Viviendas,Total,3.24
2016-08-01,2016M08,Viviendas,Variable,3.23
2016-09-01,2016M09,Total fincas,Fijo,3.46
2016-09-01,2016M09,Total fincas,Total,3.09
2016-09-01,2016M09,Total fincas,Variable,2.95
2016-09-01,2016M09,Viviendas,Fijo,3.31
2016-09-01,2016M09,Viviendas,Total,3.18
2016-09-01,2016M09,Viviendas,Variable,3.13
2016-10-01,2016M10,Total fincas,Fijo,3.27
2016-10-01,2016M10,Total fincas,Total,3.06
2016-10-01,2016M10,Total fincas,Variable,2.99
2016-10-01,2016M10,Viviendas,Fijo,3.21
2016-10-01,2016M10,Viviendas,Total,3.17
2016-10-01,2016M10,Viviendas,Variable,3.15
2016-11-01,2016M11,Total fincas,Fijo,3.22
2016-11-01,2016M11,Total fincas,Total,3.01
2016-11-01,2016M11,Total fincas,Variable,2.94
2016-11-01,2016M11,Viviendas,Fijo,3.2
2016-11-01,2016M11,Viviendas,Total,3.16
2016-11-01,2016M11,Viviendas,Variable,3.15
2016-12-01,2016M12,Total fincas,Fijo,3.3
2016-12-01,2016M12,Total fincas,Total,3.13
2016-12-01,2016M12,Total fincas,Variable,3.08
2016-12-01,2016M12,Viviendas,Fijo,3.24
2016-12-01,2016M12,Viviendas,Total,3.15
2016-12-01,2016M12,Viviendas,Variable,3.12
2017-01-01,2017M01,Total fincas,Fijo,3.42
2017-01-01,2017M01,Total fincas,Total,3.31
2017-01-01,2017M01,Total fincas,Variable,3.27
2017-01-01,2017M01,Viviendas,Fijo,3.21
2017-01-01,2017M01,Viviendas,Total,3.12
2017-01-01,2017M01,Viviendas,Variable,3.07
2017-02-01,2017M02,Total fincas,Fijo,3.37
2017-02-01,2017M02,Total fincas,Total,3.06
2017-02-01,2017M02,Total fincas,Variable,2.94
2017-02-01,2017M02,Viviendas,Fijo,3.2
2017-02-01,2017M02,Viviendas,Total,3.13
2017-02-01,2017M02,Viviendas,Variable,3.1
2017-03-01,2017M03,Total fincas,Fijo,3.34
2017-03-01,2017M03,Total fincas,Total,3.25
2017-03-01,2017M03,Total fincas,Variable,3.22
2017-03-01,2017M03,Viviendas,Fijo,3.27
2017-03-01,2017M03,Viviendas,Total,3.23
2017-03-01,2017M03,Viviendas,Variable,3.2
2017-04-01,2017M04,Total fincas,Fijo,3.35
2017-04-01,2017M04,Total fincas,Total,3.09
2017-04-01,2017M04,Total fincas,Variable,2.99
2017-04-01,2017M04,Viviendas,Fijo,3.36
2017-04-01,2017M04,Viviendas,Total,3.2
2017-04-01,2017M04,Viviendas,Variable,3.12
2017-05-01,2017M05,Total fincas,Fijo,2.93
2017-05-01,2017M05,Total fincas,Total,2.75
2017-05-01,2017M05,Total fincas,Variable,2.66
2017-05-01,2017M05,Viviendas,Fijo,3.06
2017-05-01,2017M05,Viviendas,Total,2.88
2017-05-01,2017M05,Viviendas,Variable,2.79
2017-06-01,2017M06,Total fincas,Fijo,3.23
2017-06-01,2017M06,Total fincas,Total,2.68
2017-06-01,2017M06,Total fincas,Variable,2.46
2017-06-01,2017M06,Viviendas,Fijo,3.14
2017-06-01,2017M06,Viviendas,Total,2.76
2017-06-01,2017M06,Viviendas,Variable,2.58
2017-07-01,2017M07,Total fincas,Fijo,3.26
2017-07-01,2017M07,Total fincas,Total,2.72
2017-07-01,2017M07,Total fincas,Variable,2.5
2017-07-01,2017M07,Viviendas,Fijo,3.12
2017-07-01,2017M07,Viviendas,Total,2.76
2017-07-01,2017M07,Viviendas,Variable,2.59
2017-08-01,2017M08,Total fincas,Fijo,2.98
2017-08-01,2017M08,Total fincas,Total,2.6
2017-08-01,2017M08,Total fincas,Variable,2.44
2017-08-01,2017M08,Viviendas,Fijo,3.09
2017-08-01,2017M08,Viviendas,Total,2.74
2017-08-01,2017M08,Viviendas,Variable,2.57
2017-09-01,2017M09,Total fincas,Fijo,3.17
2017-09-01,2017M09,Total fincas,Total,2.68
2017-09-01,2017M09,Total fincas,Variable,2.47
2017-09-01,2017M09,Viviendas,Fijo,3.21
2017-09-01,2017M09,Viviendas,Total,2.83
2017-09-01,2017M09,Viviendas,Variable,2.65
2017-10-01,2017M10,Total fincas,Fijo,3.36
2017-10-01,2017M10,Total fincas,Total,2.69
2017-10-01,2017M10,Total fincas,Variable,2.44
2017-10-01,2017M10,Viviendas,Fijo,3.11
2017-10-01,2017M10,Viviendas,Total,2.69
2017-10-01,2017M10,Viviendas,Variable,2.5
2017-11-01,2017M11,Total fincas,Fijo,3.57
2017-11-01,2017M11,Total fincas,Total,2.76
2017-11-01,2017M11,Total fincas,Variable,2.44
2017-11-01,2017M11,Viviendas,Fijo,3.11
2017-11-01,2017M11,Viviendas,Total,2.71
2017-11-01,2017M11,Viviendas,Variable,2.53
2017-12-01,2017M12,Total fincas,Fijo,3.26
2017-12-01,2017M12,Total fincas,Total,2.66
2017-12-01,2017M12,Total fincas,Variable,2.39
2017-12-01,2017M12,Viviendas,Fijo,3.13
2017-12-01,2017M12,Viviendas,Total,2.73
2017-12-01,2017M12,Viviendas,Variable,2.54
2018-01-01,2018M01,Total fincas,Fijo,3.33
2018-01-01,2018M01,Total fincas,Total,2.65
2018-01-01,2018M01,Total fincas,Variable,2.36
2018-01-01,2018M01,Viviendas,Fijo,3.04
2018-01-01,2018M01,Viviendas,Total,2.68
2018-01-01,2018M01,Viviendas,Variable,2.52
2018-02-01,2018M02,Total fincas,Fijo,3.22
2018-02-01,2018M02,Total fincas,Total,2.63
2018-02-01,2018M02,Total fincas,Variable,2.37
2018-02-01,2018M02,Viviendas,Fijo,3.04
2018-02-01,2018M02,Viviendas,Total,2.65
2018-02-01,2018M02,Viviendas,Variable,2.46
2018-03-01,2018M03,Total fincas,Fijo,3.11
2018-03-01,2018M03,Total fincas,Total,2.64
2018-03-01,2018M03,Total fincas,Variable,2.44
2018-03-01,2018M03,Viviendas,Fijo,3.06
2018-03-01,2018M03,Viviendas,Total,2.62
2018-03-01,2018M03,Viviendas,Variable,2.41
2018-04-01,2018M04,Total fincas,Fijo,3.23
2018-04-01,2018M04,Total fincas,Total,2.64
2018-04-01,2018M04,Total fincas,Variable,2.38
2018-04-01,2018M04,Viviendas,Fijo,3.15
2018-04-01,2018M04,Viviendas,Total,2.67
2018-04-01,2018M04,Viviendas,Variable,2.42
2018-05-01,2018M05,Total fincas,Fijo,3.13
2018-05-01,2018M05,Total fincas,Total,2.61
2018-05-01,2018M05,Total fincas,Variable,2.37
2018-05-01,2018M05,Viviendas,Fijo,3.05
2018-05-01,2018M05,Viviendas,Total,2.61
2018-05-01,2018M05,Viviendas,Variable,2.37
2018-06-01,2018M06,Total fincas,Fijo,3.2
2018-06-01,2018M06,Total fincas,Total,2.55
2018-06-01,2018M06,Total fincas,Variable,2.28
2018-06-01,2018M06,Viviendas,Fijo,3.05
2018-06-01,2018M06,Viviendas,Total,2.65
2018-06-01,2018M06,Viviendas,Variable,2.44
2018-07-01,2018M07,Total fincas,Fijo,3.08
2018-07-01,2018M07,Total fincas,Total,2.54
2018-07-01,2018M07,Total fincas,Variable,2.31
2018-07-01,2018M07,Viviendas,Fijo,3.01
2018-07-01,2018M07,Viviendas,Total,2.59
2018-07-01,2018M07,Viviendas,Variable,2.36
2018-08-01,2018M08,Total fincas,Fijo,3.14
2018-08-01,2018M08,Total fincas,Total,2.54
2018-08-01,2018M08,Total fincas,Variable,2.28
2018-08-01,2018M08,Viviendas,Fijo,3.01
2018-08-01,2018M08,Viviendas,Total,2.63
2018-08-01,2018M08,Viviendas,Variable,2.42
2018-09-01,2018M09,Total fincas,Fijo,3.24
2018-09-01,2018M09,Total fincas,Total,2.63
2018-09-01,2018M09,Total fincas,Variable,2.35
2018-09-01,2018M09,Viviendas,Fijo,3.03
2018-09-01,2018M09,Viviendas,Total,2.59
2018-09-01,2018M09,Viviendas,Variable,2.36
2018-10-01,2018M10,Total fincas,Fijo,3.06
2018-10-01,2018M10,Total fincas,Total,2.58
2018-10-01,2018M10,Total fincas,Variable,2.35
2018-10-01,2018M10,Viviendas,Fijo,3.02
2018-10-01,2018M10,Viviendas,Total,2.63
2018-10-01,2018M10,Viviendas,Variable,2.42
2018-11-01,2018M11,Total fincas,Fijo,3.09
2018-11-01,2018M11,Total fincas,Total,2.62
2018-11-01,2018M11,Total fincas,Variable,2.43
2018-11-01,2018M11,Viviendas,Fijo,3.0
2018-11-01,2018M11,Viviendas,Total,2.63
2018-11-01,2018M11,Viviendas,Variable,2.45
2018-12-01,2018M12,Total fincas,Fijo,2.88
2018-12-01,2018M12,Total fincas,Total,2.43
2018-12-01,2018M12,Total fincas,Variable,2.2
2018-12-01,2018M12,Viviendas,Fijo,2.98
2018-12-01,2018M12,Viviendas,Total,2.62
2018-12-01,2018M12,Viviendas,Variable,2.42
2019-01-01,2019M01,Total fincas,Fijo,3.03
2019-01-01,2019M01,Total fincas,Total,2.61
2019-01-01,2019M01,Total fincas,Variable,2.44
2019-01-01,2019M01,Viviendas,Fijo,3.09
2019-01-01,2019M01,Viviendas,Total,2.59
2019-01-01,2019M01,Viviendas,Variable,2.34
2019-02-01,2019M02,Total fincas,Fijo,3.3
2019-02-01,2019M02,Total fincas,Total,2.63
2019-02-01,2019M02,Total fincas,Variable,2.33
2019-02-01,2019M02,Viviendas,Fijo,3.05
2019-02-01,2019M02,Viviendas,Total,2.62
2019-02-01,2019M02,Viviendas,Variable,2.36
2019-03-01,2019M03,Total fincas,Fijo,3.24
2019-03-01,2019M03,Total fincas,Total,2.59
2019-03-01,2019M03,Total fincas,Variable,2.28
2019-03-01,2019M03,Viviendas,Fijo,3.11
2019-03-01,2019M03,Viviendas,Total,2.62
2019-03-01,2019M03,Viviendas,Variable,2.35
2019-04-01,2019M04,Total fincas,Fijo,3.07
2019-04-01,2019M04,Total fincas,Total,2.47
2019-04-01,2019M04,Total fincas,Variable,2.19
2019-04-01,2019M04,Viviendas,Fijo,3.09
2019-04-01,2019M04,Viviendas,Total,2.57
2019-04-01,2019M04,Viviendas,Variable,2.28
2019-05-01,2019M05,Total fincas,Fijo,3.32
2019-05-01,2019M05,Total fincas,Total,2.57
2019-05-01,2019M05,Total fincas,Variable,2.21
2019-05-01,2019M05,Viviendas,Fijo,3.11
2019-05-01,2019M05,Viviendas,Total,2.63
2019-05-01,2019M05,Viviendas,Variable,2.35
2019-06-01,2019M06,Total fincas,Fijo,3.05
2019-06-01,2019M06,Total fincas,Total,2.53
2019-06-01,2019M06,Total fincas,Variable,2.26
2019-06-01,2019M06,Viviendas,Fijo,3.0
2019-06-01,2019M06,Viviendas,Total,2.6
2019-06-01,2019M06,Viviendas,Variable,2.36
2019-07-01,2019M07,Total fincas,Fijo,3.17
2019-07-01,2019M07,Total fincas,Total,2.52
2019-07-01,2019M07,Total fincas,Variable,2.15
2019-07-01,2019M07,Viviendas,Fijo,3.05
2019-07-01,2019M07,Viviendas,Total,2.59
2019-07-01,2019M07,Viviendas,Variable,2.3
2019-08-01,2019M08,Total fincas,Fijo,3.15
2019-08-01,2019M08,Total fincas,Total,2.53
2019-08-01,2019M08,Total fincas,Variable,2.23
2019-08-01,2019M08,Viviendas,Fijo,3.0
2019-08-01,2019M08,Viviendas,Total,2.56
2019-08-01,2019M08,Viviendas,Variable,2.32
2019-09-01,2019M09,Total fincas,Fijo,3.15
2019-09-01,2019M09,Total fincas,Total,2.41
2019-09-01,2019M09,Total fincas,Variable,2.13
2019-09-01,2019M09,Viviendas,Fijo,3.09
2019-09-01,2019M09,Viviendas,Total,2.52
2019-09-01,2019M09,Viviendas,Variable,2.25
2019-10-01,2019M10,Total fincas,Fijo,3.23
2019-10-01,2019M10,Total fincas,Total,2.51
2019-10-01,2019M10,Total fincas,Variable,2.1
2019-10-01,2019M10,Viviendas,Fijo,3.01
2019-10-01,2019M10,Viviendas,Total,2.51
2019-10-01,2019M10,Viviendas,Variable,2.19
2019-11-01,2019M11,Total fincas,Fijo,2.98
2019-11-01,2019M11,Total fincas,Total,2.4
2019-11-01,2019M11,Total fincas,Variable,2.08
2019-11-01,2019M11,Viviendas,Fijo,2.99
2019-11-01,2019M11,Viviendas,Total,2.48
2019-11-01,2019M11,Viviendas,Variable,2.17
2019-12-01,2019M12,Total fincas,Fijo,2.99
2019-12-01,2019M12,Total fincas,Total,2.44
2019-12-01,2019M12,Total fincas,Variable,2.13
2019-12-01,2019M12,Viviendas,Fijo,3.05
2019-12-01,2019M12,Viviendas,Total,2.51
2019-12-01,2019M12,Viviendas,Variable,2.18
2020-01-01,2020M01,Total fincas,Fijo,2.62
2020-01-01,2020M01,Total fincas,Total,2.27
2020-01-01,2020M01,Total fincas,Variable,2.09
2020-01-01,2020M01,Viviendas,Fijo,2.47
2020-01-01,2020M01,Viviendas,Total,2.19
2020-01-01,2020M01,Viviendas,Variable,2.01
2020-02-01,2020M02,Total fincas,Fijo,2.48
2020-02-01,2020M02,Total fincas,Total,2.44
2020-02-01,2020M02,Total fincas,Variable,2.42
2020-02-01,2020M02,Viviendas,Fijo,2.44
2020-02-01,2020M02,Viviendas,Total,2.53
2020-02-01,2020M02,Viviendas,Variable,2.58
2020-03-01,2020M03,Total fincas,Fijo,2.61
2020-03-01,2020M03,Total fincas,Total,2.4
2020-03-01,2020M03,Total fincas,Variable,2.26
2020-03-01,2020M03,Viviendas,Fijo,2.34
2020-03-01,2020M03,Viviendas,Total,2.15
2020-03-01,2020M03,Viviendas,Variable,1.97
2020-04-01,2020M04,Total fincas,Fijo,2.47
2020-04-01,2020M04,Total fincas,Total,2.25
2020-04-01,2020M04,Total fincas,Variable,2.08
2020-04-01,2020M04,Viviendas,Fijo,2.28
2020-04-01,2020M04,Viviendas,Total,2.1
2020-04-01,2020M04,Viviendas,Variable,1.93
2020-05-01,2020M05,Total fincas,Fijo,2.29
2020-05-01,2020M05,Total fincas,Total,2.18
2020-05-01,2020M05,Total fincas,Variable,2.1
2020-05-01,2020M05,Viviendas,Fijo,2.23
2020-05-01,2020M05,Viviendas,Total,2.14
2020-05-01,2020M05,Viviendas,Variable,2.05
2020-06-01,2020M06,Total fincas,Fijo,2.43
2020-06-01,2020M06,Total fincas,Total,2.19
2020-06-01,2020M06,Total fincas,Variable,2.01
2020-06-01,2020M06,Viviendas,Fijo,2.39
2020-06-01,2020M06,Viviendas,Total,2.17
2020-06-01,2020M06,Viviendas,Variable,2.0
2020-07-01,2020M07,Total fincas,Fijo,2.79
2020-07-01,2020M07,Total fincas,Total,2.7
2020-07-01,2020M07,Total fincas,Variable,2.64
2020-07-01,2020M07,Viviendas,Fijo,2.29
2020-07-01,2020M07,Viviendas,Total,2.18
2020-07-01,2020M07,Viviendas,Variable,2.1
2020-08-01,2020M08,Total fincas,Fijo,2.36
2020-08-01,2020M08,Total fincas,Total,2.19
2020-08-01,2020M08,Total fincas,Variable,2.09
2020-08-01,2020M08,Viviendas,Fijo,2.37
2020-08-01,2020M08,Viviendas,Total,2.16
2020-08-01,2020M08,Viviendas,Variable,2.0
2020-09-01,2020M09,Total fincas,Fijo,2.33
2020-09-01,2020M09,Total fincas,Total,2.11
2020-09-01,2020M09,Total fincas,Variable,1.95
2020-09-01,2020M09,Viviendas,Fijo,2.23
2020-09-01,2020M09,Viviendas,Total,2.05
2020-09-01,2020M09,Viviendas,Variable,1.9
2020-10-01,2020M10,Total fincas,Fijo,2.42
2020-10-01,2020M10,Total fincas,Total,2.27
2020-10-01,2020M10,Total fincas,Variable,2.18
2020-10-01,2020M10,Viviendas,Fijo,2.25
2020-10-01,2020M10,Viviendas,Total,2.21
2020-10-01,2020M10,Viviendas,Variable,2.17
2020-11-01,2020M11,Total fincas,Fijo,2.36
2020-11-01,2020M11,Total fincas,Total,2.15
2020-11-01,2020M11,Total fincas,Variable,1.99
2020-11-01,2020M11,Viviendas,Fijo,2.2
2020-11-01,2020M11,Viviendas,Total,2.07
2020-11-01,2020M11,Viviendas,Variable,1.97
2020-12-01,2020M12,Total fincas,Fijo,2.48
2020-12-01,2020M12,Total fincas,Total,2.34
2020-12-01,2020M12,Total fincas,Variable,2.24
2020-12-01,2020M12,Viviendas,Fijo,2.15
2020-12-01,2020M12,Viviendas,Total,2.16
2020-12-01,2020M12,Viviendas,Variable,2.17
2021-01-01,2021M01,Total fincas,Fijo,2.21
2021-01-01,2021M01,Total fincas,Total,2.01
2021-01-01,2021M01,Total fincas,Variable,1.86
2021-01-01,2021M01,Viviendas,Fijo,2.1
2021-01-01,2021M01,Viviendas,Total,1.99
2021-01-01,2021M01,Viviendas,Variable,1.88
2021-02-01,2021M02,Total fincas,Fijo,2.15
2021-02-01,2021M02,Total fincas,Total,2.08
2021-02-01,2021M02,Total fincas,Variable,2.02
2021-02-01,2021M02,Viviendas,Fijo,2.03
2021-02-01,2021M02,Viviendas,Total,1.98
2021-02-01,2021M02,Viviendas,Variable,1.92
2021-03-01,2021M03,Total fincas,Fijo,2.13
2021-03-01,2021M03,Total fincas,Total,2.23
2021-03-01,2021M03,Total fincas,Variable,2.32
2021-03-01,2021M03,Viviendas,Fijo,2.01
2021-03-01,2021M03,Viviendas,Total,2.02
2021-03-01,2021M03,Viviendas,Variable,2.02
2021-04-01,2021M04,Total fincas,Fijo,2.09
2021-04-01,2021M04,Total fincas,Total,2.11
2021-04-01,2021M04,Total fincas,Variable,2.13
2021-04-01,2021M04,Viviendas,Fijo,1.99
2021-04-01,2021M04,Viviendas,Total,1.99
2021-04-01,2021M04,Viviendas,Variable,1.99
2021-05-01,2021M05,Total fincas,Fijo,2.23
2021-05-01,2021M05,Total fincas,Total,2.19
2021-05-01,2021M05,Total fincas,Variable,2.15
2021-05-01,2021M05,Viviendas,Fijo,1.97
2021-05-01,2021M05,Viviendas,Total,1.99
2021-05-01,2021M05,Viviendas,Variable,2.0
2021-06-01,2021M06,Total fincas,Fijo,2.03
2021-06-01,2021M06,Total fincas,Total,2.03
2021-06-01,2021M06,Total fincas,Variable,2.02
2021-06-01,2021M06,Viviendas,Fijo,1.91
2021-06-01,2021M06,Viviendas,Total,1.93
2021-06-01,2021M06,Viviendas,Variable,1.95
2021-07-01,2021M07,Total fincas,Fijo,2.09
2021-07-01,2021M07,Total fincas,Total,2.04
2021-07-01,2021M07,Total fincas,Variable,1.96
2021-07-01,2021M07,Viviendas,Fijo,1.88
2021-07-01,2021M07,Viviendas,Total,1.86
2021-07-01,2021M07,Viviendas,Variable,1.83
2021-08-01,2021M08,Total fincas,Fijo,2.03
2021-08-01,2021M08,Total fincas,Total,2.0
2021-08-01,2021M08,Total fincas,Variable,1.97
2021-08-01,2021M08,Viviendas,Fijo,1.84
2021-08-01,2021M08,Viviendas,Total,1.85
2021-08-01,2021M08,Viviendas,Variable,1.86
2021-09-01,2021M09,Total fincas,Fijo,1.95
2021-09-01,2021M09,Total fincas,Total,1.95
2021-09-01,2021M09,Total fincas,Variable,1.95
2021-09-01,2021M09,Viviendas,Fijo,1.78
2021-09-01,2021M09,Viviendas,Total,1.84
2021-09-01,2021M09,Viviendas,Variable,1.93
2021-10-01,2021M10,Total fincas,Fijo,1.93
2021-10-01,2021M10,Total fincas,Total,2.03
2021-10-01,2021M10,Total fincas,Variable,2.15
2021-10-01,2021M10,Viviendas,Fijo,1.8
2021-10-01,2021M10,Viviendas,Total,1.87
2021-10-01,2021M10,Viviendas,Variable,1.99
2021-11-01,2021M11,Total fincas,Fijo,2.03
2021-11-01,2021M11,Total fincas,Total,2.03
2021-11-01,2021M11,Total fincas,Variable,2.01
2021-11-01,2021M11,Viviendas,Fijo,1.86
2021-11-01,2021M11,Viviendas,Total,1.87
2021-11-01,2021M11,Viviendas,Variable,1.91
2021-12-01,2021M12,Total fincas,Fijo,1.94
2021-12-01,2021M12,Total fincas,Total,2.0
2021-12-01,2021M12,Total fincas,Variable,2.08
2021-12-01,2021M12,Viviendas,Fijo,1.89
2021-12-01,2021M12,Viviendas,Total,1.88
2021-12-01,2021M12,Viviendas,Variable,1.86
2022-01-01,2022M01,Total fincas,Fijo,1.97
2022-01-01,2022M01,Total fincas,Total,1.97
2022-01-01,2022M01,Total fincas,Variable,1.97
2022-01-01,2022M01,Viviendas,Fijo,1.81
2022-01-01,2022M01,Viviendas,Total,1.85
2022-01-01,2022M01,Viviendas,Variable,1.92
2022-02-01,2022M02,Total fincas,Fijo,1.94
2022-02-01,2022M02,Total fincas,Total,1.97
2022-02-01,2022M02,Total fincas,Variable,2.02
2022-02-01,2022M02,Viviendas,Fijo,1.76
2022-02-01,2022M02,Viviendas,Total,1.76
2022-02-01,2022M02,Viviendas,Variable,1.75
2022-03-01,2022M03,Total fincas,Fijo,1.94
2022-03-01,2022M03,Total fincas,Total,1.95
2022-03-01,2022M03,Total fincas,Variable,1.96
2022-03-01,2022M03,Viviendas,Fijo,1.79
2022-03-01,2022M03,Viviendas,Total,1.8
2022-03-01,2022M03,Viviendas,Variable,1.82
2022-04-01,2022M04,Total fincas,Fijo,2.11
2022-04-01,2022M04,Total fincas,Total,2.08
2022-04-01,2022M04,Total fincas,Variable,2.03
2022-04-01,2022M04,Viviendas,Fijo,1.75
2022-04-01,2022M04,Viviendas,Total,1.77
2022-04-01,2022M04,Viviendas,Variable,1.85
2022-05-01,2022M05,Total fincas,Fijo,2.04
2022-05-01,2022M05,Total fincas,Total,1.99
2022-05-01,2022M05,Total fincas,Variable,1.92
2022-05-01,2022M05,Viviendas,Fijo,1.8
2022-05-01,2022M05,Viviendas,Total,1.81
2022-05-01,2022M05,Viviendas,Variable,1.84
2022-06-01,2022M06,Total fincas,Fijo,1.95
2022-06-01,2022M06,Total fincas,Total,1.94
2022-06-01,2022M06,Total fincas,Variable,1.91
2022-06-01,2022M06,Viviendas,Fijo,1.84
2022-06-01,2022M06,Viviendas,Total,1.82
2022-06-01,2022M06,Viviendas,Variable,1.79
2022-07-01,2022M07,Total fincas,Fijo,2.12
2022-07-01,2022M07,Total fincas,Total,2.16
2022-07-01,2022M07,Total fincas,Variable,2.21
2022-07-01,2022M07,Viviendas,Fijo,1.93
2022-07-01,2022M07,Viviendas,Total,1.92
2022-07-01,2022M07,Viviendas,Variable,1.9
2022-08-01,2022M08,Total fincas,Fijo,2.18
2022-08-01,2022M08,Total fincas,Total,2.18
2022-08-01,2022M08,Total fincas,Variable,2.18
2022-08-01,2022M08,Viviendas,Fijo,1.99
2022-08-01,2022M08,Viviendas,Total,1.95
2022-08-01,2022M08,Viviendas,Variable,1.85
2022-09-01,2022M09,Total fincas,Fijo,2.47
2022-09-01,2022M09,Total fincas,Total,2.28
2022-09-01,2022M09,Total fincas,Variable,1.95
2022-09-01,2022M09,Viviendas,Fijo,2.09
2022-09-01,2022M09,Viviendas,Total,2.0
2022-09-01,2022M09,Viviendas,Variable,1.81
2022-10-01,2022M10,Total fincas,Fijo,2.53
2022-10-01,2022M10,Total fincas,Total,2.37
2022-10-01,2022M10,Total fincas,Variable,2.11
2022-10-01,2022M10,Viviendas,Fijo,2.26
2022-10-01,2022M10,Viviendas,Total,2.14
2022-10-01,2022M10,Viviendas,Variable,1.9
2022-11-01,2022M11,Total fincas,Fijo,2.99
2022-11-01,2022M11,Total fincas,Total,2.74
2022-11-01,2022M11,Total fincas,Variable,2.43
2022-11-01,2022M11,Viviendas,Fijo,2.82
2022-11-01,2022M11,Viviendas,Total,2.56
2022-11-01,2022M11,Viviendas,Variable,2.14
2022-12-01,2022M12,Total fincas,Fijo,3.2
2022-12-01,2022M12,Total fincas,Total,2.82
2022-12-01,2022M12,Total fincas,Variable,2.27
2022-12-01,2022M12,Viviendas,Fijo,2.92
2022-12-01,2022M12,Viviendas,Total,2.66
2022-12-01,2022M12,Viviendas,Variable,2.17
2023-01-01,2023M01,Total fincas,Fijo,2.94
2023-01-01,2023M01,Total fincas,Total,2.85
2023-01-01,2023M01,Total fincas,Variable,2.73
2023-01-01,2023M01,Viviendas,Fijo,2.79
2023-01-01,2023M01,Viviendas,Total,2.64
2023-01-01,2023M01,Viviendas,Variable,2.36
2023-02-01,2023M02,Total fincas,Fijo,3.38
2023-02-01,2023M02,Total fincas,Total,3.2
2023-02-01,2023M02,Total fincas,Variable,2.95
2023-02-01,2023M02,Viviendas,Fijo,2.95
2023-02-01,2023M02,Viviendas,Total,2.86
2023-02-01,2023M02,Viviendas,Variable,2.68
2023-03-01,2023M03,Total fincas,Fijo,3.37
2023-03-01,2023M03,Total fincas,Total,3.27
2023-03-01,2023M03,Total fincas,Variable,3.13
2023-03-01,2023M03,Viviendas,Fijo,3.14
2023-03-01,2023M03,Viviendas,Total,2.98
2023-03-01,2023M03,Viviendas,Variable,2.71
2023-04-01,2023M04,Total fincas,Fijo,3.58
2023-04-01,2023M04,Total fincas,Total,3.4
2023-04-01,2023M04,Total fincas,Variable,3.18
2023-04-01,2023M04,Viviendas,Fijo,3.28
2023-04-01,2023M04,Viviendas,Total,3.08
2023-04-01,2023M04,Viviendas,Variable,2.77
2023-05-01,2023M05,Total fincas,Fijo,3.72
2023-05-01,2023M05,Total fincas,Total,3.5
2023-05-01,2023M05,Total fincas,Variable,3.24
2023-05-01,2023M05,Viviendas,Fijo,3.4
2023-05-01,2023M05,Viviendas,Total,3.15
2023-05-01,2023M05,Viviendas,Variable,2.78
2023-06-01,2023M06,Total fincas,Fijo,3.68
2023-06-01,2023M06,Total fincas,Total,3.48
2023-06-01,2023M06,Total fincas,Variable,3.25
2023-06-01,2023M06,Viviendas,Fijo,3.43
2023-06-01,2023M06,Viviendas,Total,3.17
2023-06-01,2023M06,Viviendas,Variable,2.82
2023-07-01,2023M07,Total fincas,Fijo,3.69
2023-07-01,2023M07,Total fincas,Total,3.49
2023-07-01,2023M07,Total fincas,Variable,3.31
2023-07-01,2023M07,Viviendas,Fijo,3.48
2023-07-01,2023M07,Viviendas,Total,3.23
2023-07-01,2023M07,Viviendas,Variable,2.93
2023-08-01,2023M08,Total fincas,Fijo,3.9
2023-08-01,2023M08,Total fincas,Total,3.61
2023-08-01,2023M08,Total fincas,Variable,3.37
2023-08-01,2023M08,Viviendas,Fijo,3.53
2023-08-01,2023M08,Viviendas,Total,3.24
2023-08-01,2023M08,Viviendas,Variable,2.89
2023-09-01,2023M09,Total fincas,Fijo,3.66
2023-09-01,2023M09,Total fincas,Total,3.45
2023-09-01,2023M09,Total fincas,Variable,3.27
2023-09-01,2023M09,Viviendas,Fijo,3.41
2023-09-01,2023M09,Viviendas,Total,3.27
2023-09-01,2023M09,Viviendas,Variable,3.12
2023-10-01,2023M10,Total fincas,Fijo,3.85
2023-10-01,2023M10,Total fincas,Total,3.69
2023-10-01,2023M10,Total fincas,Variable,3.53
2023-10-01,2023M10,Viviendas,Fijo,3.57
2023-10-01,2023M10,Viviendas,Total,3.31
2023-10-01,2023M10,Viviendas,Variable,3.02
