origin_date,horizon_months,target_date,model,forecast,lower_80,upper_80,lower_95,upper_95,observed,error,abs_error,squared_error,covered_80,covered_95
2021-01-01,1,2021-02-01,naive,1.99,1.8509881040540297,2.12901189594597,1.7773996514834352,2.202600348516565,1.98,-0.010000000000000009,0.010000000000000009,0.00010000000000000018,True,True
2021-01-01,3,2021-04-01,naive,1.99,1.7492243333651016,2.2307756666348983,1.6217653946624593,2.3582346053375405,1.99,0.0,0.0,0.0,True,True
2021-01-01,6,2021-07-01,naive,1.99,1.6494917867555035,2.3305082132444963,1.469237626996546,2.510762373003454,1.86,-0.1299999999999999,0.1299999999999999,0.01689999999999997,True,True
2021-01-01,1,2021-02-01,ets,2.0505669750942284,1.9323621719840258,2.168771778204431,1.8697883290182953,2.2313456211701617,1.98,-0.07056697509422838,0.07056697509422838,0.004979697973949448,True,True
2021-01-01,3,2021-04-01,ets,2.0255074890900047,1.8664337086993907,2.1845812694806184,1.7822251360168802,2.2687898421631294,1.99,-0.035507489090004674,0.035507489090004674,0.001260781781476801,True,True
2021-01-01,6,2021-07-01,ets,2.0016654742354785,1.7665511092724937,2.236779839198463,1.642089082645156,2.361241865825801,1.86,-0.14166547423547837,0.14166547423547837,0.020069106590362987,True,True
2021-01-01,1,2021-02-01,arima,2.036632638139123,1.9193018380322469,2.1539634382459987,1.8571906643087361,2.2160746119695096,1.98,-0.05663263813912289,0.05663263813912289,0.003207255702596837,True,True
2021-01-01,3,2021-04-01,arima,1.9934406318408613,1.8358557466959935,2.151025516985729,1.7524353475466081,2.2344459161351145,1.99,-0.003440631840861297,0.003440631840861297,1.1837947464348596e-05,True,True
2021-01-01,6,2021-07-01,arima,1.937298874834155,1.7080012382357292,2.166596511432581,1.5866184016047478,2.2879793480635624,1.86,-0.07729887483415498,0.07729887483415498,0.005975116050626359,True,True
2021-01-01,1,2021-02-01,arimax_euribor,2.033476378269554,1.9162836917958448,2.1506690647432634,1.8542456310133129,2.2127071255257955,1.98,-0.0534763782695542,0.0534763782695542,0.002859723032828449,True,True
2021-01-01,3,2021-04-01,arimax_euribor,1.9862203673606842,1.8285958781392995,2.143844856582069,1.7451545138582139,2.2272862208631543,1.99,0.0037796326393157997,0.0037796326393157997,1.4285622888181318e-05,True,True
2021-01-01,6,2021-07-01,arimax_euribor,1.9273915663032155,1.6969983557341162,2.157784776872315,1.5750355572759123,2.2797475753305187,1.86,-0.06739156630321541,0.06739156630321541,0.004541623208800679,True,True
2021-02-01,1,2021-03-01,naive,1.98,1.841463973933244,2.118536026066756,1.7681274316599518,2.1918725683400484,2.02,0.040000000000000036,0.040000000000000036,0.001600000000000003,True,True
2021-02-01,3,2021-05-01,naive,1.98,1.740048564173692,2.219951435826308,1.6130259469049273,2.3469740530950727,1.99,0.010000000000000009,0.010000000000000009,0.00010000000000000018,True,True
2021-02-01,6,2021-08-01,naive,1.98,1.6406574251435377,2.3193425748564622,1.4610203170739238,2.498979682926076,1.85,-0.1299999999999999,0.1299999999999999,0.01689999999999997,True,True
2021-02-01,1,2021-03-01,ets,1.9945406824300853,1.8765094239629072,2.1125719408972636,1.814027449981807,2.175053914878364,2.02,0.025459317569914708,0.025459317569914708,0.0006481768511257677,True,True
2021-02-01,3,2021-05-01,ets,1.960773922308907,1.8009250878255854,2.1206227567922284,1.7163062262900757,2.205241618327738,1.99,0.02922607769109309,0.02922607769109309,0.0008541636172058092,True,True
2021-02-01,6,2021-08-01,ets,1.9285350618932073,1.6922993921038123,2.1647707316826024,1.5672437825570131,2.2898263412294018,1.85,-0.07853506189320725,0.07853506189320725,0.006167755946569893,True,True
2021-02-01,1,2021-03-01,arima,1.9785423862854443,1.8614681790676544,2.0956165935032343,1.7994928374146293,2.157591935156259,2.02,0.0414576137145557,0.0414576137145557,0.0017187337349053166,True,True
2021-02-01,3,2021-05-01,arima,1.9259248739960038,1.7678565991650015,2.0839931488270063,1.6841803089729885,2.167669439019019,1.99,0.06407512600399623,0.06407512600399623,0.004105621772427994,True,True
2021-02-01,6,2021-08-01,arima,1.8592303622566542,1.629243355945888,2.0892173685674202,1.5074955890329698,2.2109651354803384,1.85,-0.009230362256654079,0.009230362256654079,8.519958738906418e-05,True,True
2021-02-01,1,2021-03-01,arimax_euribor,1.9503807231620014,1.8252315157208245,2.075529930603178,1.7589815271614857,2.141779919162517,2.02,0.06961927683799862,0.06961927683799862,0.004846843707445892,True,True
2021-02-01,3,2021-05-01,arimax_euribor,1.902074431875349,1.7076502646657985,2.0964985990848994,1.6047283275904407,2.1994205361602575,1.99,0.08792556812465091,0.08792556812465091,0.007730905530042628,True,True
2021-02-01,6,2021-08-01,arimax_euribor,1.8132323239270276,1.535481710323171,2.0909829375308844,1.3884494170323505,2.2380152308217047,1.85,0.03676767607297249,0.03676767607297249,0.0013518620038070336,True,True
2021-03-01,1,2021-04-01,naive,2.02,1.8817778856540617,2.1582221143459384,1.8086075182079064,2.231392481792094,1.99,-0.030000000000000027,0.030000000000000027,0.0009000000000000016,True,True
2021-03-01,3,2021-06-01,naive,2.02,1.7805922752232402,2.25940772477676,1.6538574811980151,2.386142518801985,1.93,-0.09000000000000008,0.09000000000000008,0.008100000000000015,True,True
2021-03-01,6,2021-09-01,naive,2.02,1.6814263486838208,2.3585736513161795,1.5021962841487868,2.5378037158512132,1.84,-0.17999999999999994,0.17999999999999994,0.03239999999999998,True,True
2021-03-01,1,2021-04-01,ets,1.9912435920207086,1.8735842106571365,2.108902973384281,1.8112990965232787,2.1711880875181384,1.99,-0.0012435920207085616,0.0012435920207085616,1.5465211139700035e-06,True,True
2021-03-01,3,2021-06-01,ets,1.9678499987506148,1.8088443882225493,2.1268556092786803,1.7246719024854236,2.211028095015806,1.93,-0.0378499987506149,0.0378499987506149,0.0014326224054215493,True,True
2021-03-01,6,2021-09-01,ets,1.9455344408033188,1.710707891716844,2.1803609898897935,1.5863982256111255,2.3046706559955124,1.84,-0.10553444080331875,0.10553444080331875,0.01113751819566919,True,True
2021-03-01,1,2021-04-01,arima,1.9768304681521427,1.8600796373738744,2.093581298930411,1.7982754808674173,2.155385455436868,1.99,0.013169531847857296,0.013169531847857296,0.0001734365690917276,True,True
2021-03-01,3,2021-06-01,arima,1.9373801548459524,1.7802729765381213,2.0944873331537837,1.6971054601127697,2.177654849579135,1.93,-0.007380154845952447,0.007380154845952447,5.4466685550235385e-05,True,True
2021-03-01,6,2021-09-01,arima,1.8830176167899857,1.6546737685274455,2.111361465052526,1.5337958369424682,2.232239396637503,1.84,-0.04301761678998561,0.04301761678998561,0.0018505153542900522,True,True
2021-03-01,1,2021-04-01,arimax_euribor,1.9733498548086394,1.8567199984325822,2.0899797111846965,1.7949798819062919,2.151719827710987,1.99,0.016650145191360544,0.016650145191360544,0.00027722733489338663,True,True
