origin_date,horizon_months,target_date,model,forecast,lower_80,upper_80,lower_95,upper_95,selected
2026-06-01,1,2026-07-01,naive,2.96,2.8257215728793,3.0942784271207,2.7546388673440396,3.1653611326559603,True
2026-06-01,3,2026-09-01,naive,2.96,2.727422941866513,3.192577058133487,2.6043040843399847,3.315695915660015,False
2026-06-01,6,2026-12-01,naive,2.96,2.631086370090787,3.2889136299092128,2.45697001199289,3.46302998800711,False
2026-06-01,1,2026-07-01,ets,2.9740290195399166,2.855864685524902,3.092193353554931,2.793312265604096,3.1547457734757374,False
2026-06-01,3,2026-09-01,ets,2.999570121160798,2.8220521777763397,3.1770880645452566,2.7280798549885543,3.271060387333042,True
2026-06-01,6,2026-12-01,ets,3.0250180400711377,2.7437722118433125,3.306263868298963,2.5948896636960304,3.455146416446245,True
2026-06-01,1,2026-07-01,arima,2.9757037280759966,2.8580526417960295,3.0933548143559637,2.7957719188141827,3.1556355373378104,False
2026-06-01,3,2026-09-01,arima,3.001082518958986,2.825458482761658,3.1767065551563136,2.7324887338778177,3.269676304040154,False
2026-06-01,6,2026-12-01,arima,3.0232412713361803,2.7505843245874915,3.295898218084869,2.6062484556510848,3.4402340870212758,False
2026-06-01,1,2026-07-01,arimax_euribor,2.9712665653049206,2.8526795314325284,3.089853599177313,2.789903347723777,3.152629782886064,False
2026-06-01,3,2026-09-01,arimax_euribor,2.98938863464343,2.804417616003784,3.1743596532830765,2.7064998735007353,3.272277395786125,False
2026-06-01,6,2026-12-01,arimax_euribor,3.001519564925834,2.7289475845906255,3.274091545261043,2.5846566941565685,3.4183824356951,False
